"Type","Route","File","Status","Notes"
"API","/api/admin/access","src\app\api\admin\access\route.ts","Pendiente",""
"API","/api/admin/whatsapp-connections","src\app\api\admin\whatsapp-connections\route.ts","Pendiente",""
"API","/api/analyze-brand","src\app\api\analyze-brand\route.ts","Pendiente",""
"API","/api/atlas/publish-strategy","src\app\api\atlas\publish-strategy\route.ts","Pendiente",""
"API","/api/brand-dashboard","src\app\api\brand-dashboard\route.ts","Pendiente",""
"API","/api/brand-resolver","src\app\api\brand-resolver\route.ts","Pendiente",""
"API","/api/catalog-ai/generate","src\app\api\catalog-ai\generate\route.ts","Pendiente",""
"API","/api/cosmos/get-memory","src\app\api\cosmos\get-memory\route.ts","Pendiente",""
"API","/api/cosmos/save-memory","src\app\api\cosmos\save-memory\route.ts","Pendiente",""
"API","/api/cron/sales-ai-followups","src\app\api\cron\sales-ai-followups\route.ts","Pendiente",""
"API","/api/evidence/[brandName]","src\app\api\evidence\[brandName]\route.ts","Pendiente",""
"API","/api/generate-business-map","src\app\api\generate-business-map\route.ts","Pendiente",""
"API","/api/generate-content-plan","src\app\api\generate-content-plan\route.ts","Pendiente",""
"API","/api/generate-strategy","src\app\api\generate-strategy\route.ts","Pendiente",""
"API","/api/mercury/assets/add-link","src\app\api\mercury\assets\add-link\route.ts","Pendiente",""
"API","/api/mercury/assets/list","src\app\api\mercury\assets\list\route.ts","Pendiente",""
"API","/api/mercury/content-item/create","src\app\api\mercury\content-item\create\route.ts","Pendiente",""
"API","/api/mercury/content-item/update","src\app\api\mercury\content-item\update\route.ts","Pendiente",""
"API","/api/mercury/dashboard","src\app\api\mercury\dashboard\route.ts","Pendiente",""
"API","/api/mercury/designer-dashboard","src\app\api\mercury\designer-dashboard\route.ts","Pendiente",""
"API","/api/mercury/piece-comments","src\app\api\mercury\piece-comments\route.ts","Pendiente",""
"API","/api/mercury/publish-content-plan","src\app\api\mercury\publish-content-plan\route.ts","Pendiente",""
"API","/api/mercury/run","src\app\api\mercury\run\route.ts","Pendiente",""
"API","/api/nova/get-analysis","src\app\api\nova\get-analysis\route.ts","Pendiente",""
"API","/api/orion/evidence","src\app\api\orion\evidence\route.ts","Pendiente",""
"API","/api/sales-ai/admin-whatsapp-settings","src\app\api\sales-ai\admin-whatsapp-settings\route.ts","Pendiente",""
"API","/api/sales-ai/agent-run","src\app\api\sales-ai\agent-run\route.ts","Pendiente",""
"API","/api/sales-ai/agent-settings","src\app\api\sales-ai\agent-settings\route.ts","Pendiente",""
"API","/api/sales-ai/analyze-lead","src\app\api\sales-ai\analyze-lead\route.ts","Pendiente",""
"API","/api/sales-ai/connect-request","src\app\api\sales-ai\connect-request\route.ts","Pendiente",""
"API","/api/sales-ai/followups/run","src\app\api\sales-ai\followups\run\route.ts","Pendiente",""
"API","/api/sales-ai/inbox-dashboard","src\app\api\sales-ai\inbox-dashboard\route.ts","Pendiente",""
"API","/api/sales-ai/knowledge","src\app\api\sales-ai\knowledge\route.ts","Pendiente",""
"API","/api/sales-ai/knowledge-context","src\app\api\sales-ai\knowledge-context\route.ts","Pendiente",""
"API","/api/sales-ai/leads","src\app\api\sales-ai\leads\route.ts","Pendiente",""
"API","/api/sales-ai/learning/run","src\app\api\sales-ai\learning\run\route.ts","Pendiente",""
"API","/api/sales-ai/learning/suggestions","src\app\api\sales-ai\learning\suggestions\route.ts","Pendiente",""
"API","/api/sales-ai/messages","src\app\api\sales-ai\messages\route.ts","Pendiente",""
"API","/api/sales-ai/playbook","src\app\api\sales-ai\playbook\route.ts","Pendiente",""
"API","/api/sales-ai/playbook-context","src\app\api\sales-ai\playbook-context\route.ts","Pendiente",""
"API","/api/sales-ai/send-message","src\app\api\sales-ai\send-message\route.ts","Pendiente",""
"API","/api/sales-ai/settings","src\app\api\sales-ai\settings\route.ts","Pendiente",""
